,category_name,category_id,name,description,id,href,tracks,collaborative,external_urls,images,owner,primary_color,public,snapshot_id,type,uri
0,Top Lists,toplists,Today's Top Hits,Lil Nas X is on top of the Hottest 50!,37i9dQZF1DXcBWIGoYBM5M,https://api.spotify.com/v1/playlists/37i9dQZF1DXcBWIGoYBM5M,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcBWIGoYBM5M/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003043f5ae3bc32daf628ea6c47', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyOTExOTIyNywwMDAwMDRkNzAwMDAwMTdiNGYxMmE2ZWYwMDAwMDE3YjNkMGIyNTI4,playlist,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M
1,Top Lists,toplists,RapCaviar,"Music from Lil Tecca, NLE Choppa and YNW Melly.",37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003a7bc7dd692c5c05f5a7a0a37', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyOTEyOTI1NCwwMDAwMDViOTAwMDAwMTdiNGZhYmE4MTMwMDAwMDE3YjNmZjVmYzQ1,playlist,spotify:playlist:37i9dQZF1DX0XUsuxWHRQd
2,Top Lists,toplists,mint,"The world's biggest dance hits. Featuring new music from Tiesto & KAROL G, Joel Corry, Jax Jones, Saweetie & Charli XCX, RÜFÜS DU SOL and more!",37i9dQZF1DX4dyzvuaRJ0n,https://api.spotify.com/v1/playlists/37i9dQZF1DX4dyzvuaRJ0n,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX4dyzvuaRJ0n/tracks', 'total': 100}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX4dyzvuaRJ0n'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003b5558ab337787cc0dd10024f', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODgyNzI2MCwwMDAwMDRhMzAwMDAwMTdiM2RhYjk0ZGQwMDAwMDE3YjNhZmUwNzQy,playlist,spotify:playlist:37i9dQZF1DX4dyzvuaRJ0n
3,Top Lists,toplists,Rock This,"The newest music from Machine Gun Kelly, along with the top Rock songs you need to know.",37i9dQZF1DXcF6B6QPhFDv,https://api.spotify.com/v1/playlists/37i9dQZF1DXcF6B6QPhFDv,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcF6B6QPhFDv/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXcF6B6QPhFDv'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003d24b64d03d828be9ca6c6caf', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODgyNzI2MCwwMDAwMDY1ZTAwMDAwMTdiM2RhYjk0Y2IwMDAwMDE3YjJjNDlmOTNi,playlist,spotify:playlist:37i9dQZF1DXcF6B6QPhFDv
4,Top Lists,toplists,Are & Be,The pulse of R&B music today.  Cover: Brent Faiyaz,37i9dQZF1DX4SBhb3fqCJd,https://api.spotify.com/v1/playlists/37i9dQZF1DX4SBhb3fqCJd,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX4SBhb3fqCJd/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX4SBhb3fqCJd'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003c6d6dd24f58f37d223a61b37', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODg3NzI2MSwwMDAwMDUyNDAwMDAwMTdiNDBhNjg5ZTUwMDAwMDE3YjNjMzBhNGE3,playlist,spotify:playlist:37i9dQZF1DX4SBhb3fqCJd
5,Top Lists,toplists,¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Ingratax",37i9dQZF1DX10zKzsJ2jva,https://api.spotify.com/v1/playlists/37i9dQZF1DX10zKzsJ2jva,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX10zKzsJ2jva/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003b013c70c52f585e00f12bf95', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODgzMjk0MiwwMDAwMDVkMzAwMDAwMTdiM2UwMjQ5YjcwMDAwMDE3YjNiMjQ3ZDY0,playlist,spotify:playlist:37i9dQZF1DX10zKzsJ2jva
6,Top Lists,toplists,Hot Country,"Today's top country hits of the week, worldwide! Cover: Dan + Shay",37i9dQZF1DX1lVhptIYRda,https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000383bb67968025ab39b2322128', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODgyODcyNCwwMDAwMDMyMzAwMDAwMTdiM2RjMWVlOTEwMDAwMDE3YjM1ZWEwMmM2,playlist,spotify:playlist:37i9dQZF1DX1lVhptIYRda
7,Top Lists,toplists,New Music Friday Malaysia,"The best newly released songs of the week. Cover: DJ Snake, Rick Ross, Rich Brian",37i9dQZF1DWZMWLrh2UzwC,https://api.spotify.com/v1/playlists/37i9dQZF1DWZMWLrh2UzwC,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWZMWLrh2UzwC/tracks', 'total': 110}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWZMWLrh2UzwC'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000355a89e380538723a4b04e99e', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODgzMjk1NywwMDAwMDQxMTAwMDAwMTdiM2UwMjgzMjIwMDAwMDE3YjNhNWQ5MjVj,playlist,spotify:playlist:37i9dQZF1DWZMWLrh2UzwC
8,Top Lists,toplists,Fresh Finds,"The best new music by independent artists. Updates every Wednesday. Cover: Andrea Chahayed, Artwork: Isu Kim",37i9dQZF1DWWjGdmeTyeJ6,https://api.spotify.com/v1/playlists/37i9dQZF1DWWjGdmeTyeJ6,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWWjGdmeTyeJ6/tracks', 'total': 64}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWWjGdmeTyeJ6'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000344066b024ff6d496815d8a5f', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyOTMwMDAzNCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DWWjGdmeTyeJ6
9,Top Lists,toplists,Top 50 - Global,Your daily update of the most played tracks right now - Global.,37i9dQZEVXbMDoHDwVN2tF,https://api.spotify.com/v1/playlists/37i9dQZEVXbMDoHDwVN2tF,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZEVXbMDoHDwVN2tF/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZEVXbMDoHDwVN2tF'},"[{'height': None, 'url': 'https://charts-images.scdn.co/assets/locale_en/regional/daily/region_global_large.jpg', 'width': None}]","{'display_name': 'spotifycharts', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotifycharts'}, 'href': 'https://api.spotify.com/v1/users/spotifycharts', 'id': 'spotifycharts', 'type': 'user', 'uri': 'spotify:user:spotifycharts'}",,,NjgyNTM0OTM4LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,playlist,spotify:playlist:37i9dQZEVXbMDoHDwVN2tF
