,name,description,id,href,tracks,collaborative,external_urls,images,owner,primary_color,public,snapshot_id,type,uri
0,New Music Friday,The very best in new music from around the world. Cover: The Weeknd,37i9dQZF1DWXJfnUiYjUKT,https://api.spotify.com/v1/playlists/37i9dQZF1DWXJfnUiYjUKT,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWXJfnUiYjUKT/tracks', 'total': 97}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWXJfnUiYjUKT'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000033bb0c30e07dcc9afea6d4fb3', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIyMjUyNywwMDAwMDMzNDAwMDAwMTdiMTlhMDE3ZTUwMDAwMDE3YjE5OWZiZjgz,playlist,spotify:playlist:37i9dQZF1DWXJfnUiYjUKT
1,Feel Good Friday,Uplifting anthems to power you through 'til the weekend.,37i9dQZF1DX1g0iEXLFycr,https://api.spotify.com/v1/playlists/37i9dQZF1DX1g0iEXLFycr,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX1g0iEXLFycr/tracks', 'total': 100}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX1g0iEXLFycr'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003104f039c1cc982d3617f4e4b', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODI2NjcyMCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DX1g0iEXLFycr
2,RapCaviar,"New music from Jack Harlow, Lil Tecca and YNW Melly.",37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000362846e40ee0a24995c1e2a09', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODI2MDc4MywwMDAwMDViNDAwMDAwMTdiMWJlN2Q0YjYwMDAwMDE3YWY0N2Y2OTdh,playlist,spotify:playlist:37i9dQZF1DX0XUsuxWHRQd
3,Main Stage,Peak-time bangers and emerging future hits. Cover:  Minelli,37i9dQZF1DX7ZUug1ANKRP,https://api.spotify.com/v1/playlists/37i9dQZF1DX7ZUug1ANKRP,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX7ZUug1ANKRP/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX7ZUug1ANKRP'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003989edcaa1f124d125114474b', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODA5NjQwNCwwMDAwMDE1OTAwMDAwMTdiMTIxYjlhNWYwMDAwMDE3YWVjZTY3Nzg2,playlist,spotify:playlist:37i9dQZF1DX7ZUug1ANKRP
4,I Love My '90s Hip-Hop,"Real rap music from the golden era.
",37i9dQZF1DX186v583rmzp,https://api.spotify.com/v1/playlists/37i9dQZF1DX186v583rmzp,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX186v583rmzp/tracks', 'total': 100}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX186v583rmzp'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000030df5d90a06b5d5abaf72af2e', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODI2Njc0OSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DX186v583rmzp
5,Mood Booster,Get happy with today's dose of feel-good songs!,37i9dQZF1DX3rxVfibe1L0,https://api.spotify.com/v1/playlists/37i9dQZF1DX3rxVfibe1L0,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX3rxVfibe1L0/tracks', 'total': 76}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX3rxVfibe1L0'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003bd0e19e810bb4b55ab164a95', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODI2NjY5MywwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DX3rxVfibe1L0
6,Dance Hits,"All the <a href=""spotify:genre:edm_dance"">big ones</a> with Swedish House Mafia.",37i9dQZF1DX0BcQWzuB7ZO,https://api.spotify.com/v1/playlists/37i9dQZF1DX0BcQWzuB7ZO,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0BcQWzuB7ZO/tracks', 'total': 93}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX0BcQWzuB7ZO'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000035c121d22d792502136591291', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODI1NDMwOCwwMDAwMDE2YjAwMDAwMTdiMWI4NTA4MmQwMDAwMDE3YWM5ZDNiNzhl,playlist,spotify:playlist:37i9dQZF1DX0BcQWzuB7ZO
7,Today's Top Hits,The Weeknd is on top of the Hottest 50!,37i9dQZF1DXcBWIGoYBM5M,https://api.spotify.com/v1/playlists/37i9dQZF1DXcBWIGoYBM5M,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcBWIGoYBM5M/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000348930ff0f4d268a41f5edd4d', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIyMjQwMCwwMDAwMDRkMTAwMDAwMTdiMTk5ZTI2YzEwMDAwMDE3YjE4ZDFkOWM2,playlist,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M
8,just hits,"Current favorites and exciting new music. Cover: The Kid LAROI, Justin Bieber",37i9dQZF1DXcRXFNfZr7Tp,https://api.spotify.com/v1/playlists/37i9dQZF1DXcRXFNfZr7Tp,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcRXFNfZr7Tp/tracks', 'total': 100}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXcRXFNfZr7Tp'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000035a38e135ee605119ee0c6380', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIyMjQwMCwwMDAwMDRlNTAwMDAwMTdiMTk5ZTI2YmIwMDAwMDE3YjE4YmNkZDEx,playlist,spotify:playlist:37i9dQZF1DXcRXFNfZr7Tp
9,Dance Party,"<a href=""spotify:genre:edm_dance"">Move</a> your feet!",37i9dQZF1DXaXB8fQg7xif,https://api.spotify.com/v1/playlists/37i9dQZF1DXaXB8fQg7xif,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXaXB8fQg7xif/tracks', 'total': 125}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXaXB8fQg7xif'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003470dd505fcf08e4693db9b24', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODI2Njc0NywwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DXaXB8fQg7xif
