,category_name,category_id,name,description,id,href,tracks,collaborative,external_urls,images,owner,primary_color,public,snapshot_id,type,uri
0,Top Lists,toplists,Today's Top Hits,The Weeknd is on top of the Hottest 50!,37i9dQZF1DXcBWIGoYBM5M,https://api.spotify.com/v1/playlists/37i9dQZF1DXcBWIGoYBM5M,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcBWIGoYBM5M/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000348930ff0f4d268a41f5edd4d', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODQ4MTYwMCwwMDAwMDRkNDAwMDAwMTdiMjkxMTNhNWIwMDAwMDE3YjE4ZDFkOWM2,playlist,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M
1,Top Lists,toplists,RapCaviar,"New music from Jack Harlow, Lil Tecca and YNW Melly.",37i9dQZF1DX0XUsuxWHRQd,https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0XUsuxWHRQd/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000314964434673edb3112b16a10', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODI2OTIwNSwwMDAwMDViNTAwMDAwMTdiMWM2ODU2ZDIwMDAwMDE3YjFjNjgwMzQ4,playlist,spotify:playlist:37i9dQZF1DX0XUsuxWHRQd
2,Top Lists,toplists,Rock This,"The newest music from Papa Roach, FEVER 333, & Sueco, along with the top Rock songs you need to know.",37i9dQZF1DXcF6B6QPhFDv,https://api.spotify.com/v1/playlists/37i9dQZF1DXcF6B6QPhFDv,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcF6B6QPhFDv/tracks', 'total': 51}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXcF6B6QPhFDv'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003fecf1cf8a95850a05a1780c0', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIyMjQ2MCwwMDAwMDY1YzAwMDAwMTdiMTk5ZjEwZTgwMDAwMDE3YjBkNDc4NWU1,playlist,spotify:playlist:37i9dQZF1DXcF6B6QPhFDv
3,Top Lists,toplists,mint,"The world's biggest dance hits. Featuring new music from 220 KID & LANY, Majestic & Nightcrawlers, TSHA, Gryffin & Boy Matthews and more!",37i9dQZF1DX4dyzvuaRJ0n,https://api.spotify.com/v1/playlists/37i9dQZF1DX4dyzvuaRJ0n,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX4dyzvuaRJ0n/tracks', 'total': 99}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX4dyzvuaRJ0n'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003d5a7f9fc08c003da80e28599', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIyMjQ2MCwwMDAwMDRhMjAwMDAwMTdiMTk5ZjEwYzgwMDAwMDE3YjE3MDA2OGM4,playlist,spotify:playlist:37i9dQZF1DX4dyzvuaRJ0n
4,Top Lists,toplists,Hot Country,"Today's top country hits of the week, worldwide! Cover: Chris Young",37i9dQZF1DX1lVhptIYRda,https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX1lVhptIYRda/tracks', 'total': 54}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000039af5be1ed7106f367cba43c4', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIyMjQ2MCwwMDAwMDMyMjAwMDAwMTdiMTk5ZjEwY2UwMDAwMDE3YjBjYjAyNWM4,playlist,spotify:playlist:37i9dQZF1DX1lVhptIYRda
5,Top Lists,toplists,¡Viva Latino!,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Aventura, Bad Bunny",37i9dQZF1DX10zKzsJ2jva,https://api.spotify.com/v1/playlists/37i9dQZF1DX10zKzsJ2jva,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX10zKzsJ2jva/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003b95fe62894f4b3a36322d307', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIyMjQwMCwwMDAwMDVkMTAwMDAwMTdiMTk5ZTI2YjUwMDAwMDE3YjE3MjM2MzFk,playlist,spotify:playlist:37i9dQZF1DX10zKzsJ2jva
6,Top Lists,toplists,Are & Be,The pulse of R&B music today.  Cover: WizKid,37i9dQZF1DX4SBhb3fqCJd,https://api.spotify.com/v1/playlists/37i9dQZF1DX4SBhb3fqCJd,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX4SBhb3fqCJd/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX4SBhb3fqCJd'},"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003b1c77711681fdb518d1ca98d', 'width': None}]","{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTYyODIyMjQwMCwwMDAwMDUyMjAwMDAwMTdiMTk5ZTI2YzUwMDAwMDE3YjE5MjY4NGNh,playlist,spotify:playlist:37i9dQZF1DX4SBhb3fqCJd
7,Top Lists,toplists,Top 50 - USA,Your daily update of the most played tracks right now - USA.,37i9dQZEVXbLRQDuF5jeBp,https://api.spotify.com/v1/playlists/37i9dQZEVXbLRQDuF5jeBp,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZEVXbLRQDuF5jeBp/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZEVXbLRQDuF5jeBp'},"[{'height': None, 'url': 'https://charts-images.scdn.co/assets/locale_en/regional/daily/region_us_large.jpg', 'width': None}]","{'display_name': 'spotifycharts', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotifycharts'}, 'href': 'https://api.spotify.com/v1/users/spotifycharts', 'id': 'spotifycharts', 'type': 'user', 'uri': 'spotify:user:spotifycharts'}",,,NjgxNzM5ODg0LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,playlist,spotify:playlist:37i9dQZEVXbLRQDuF5jeBp
8,Top Lists,toplists,Top 50 - Global,Your daily update of the most played tracks right now - Global.,37i9dQZEVXbMDoHDwVN2tF,https://api.spotify.com/v1/playlists/37i9dQZEVXbMDoHDwVN2tF,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZEVXbMDoHDwVN2tF/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZEVXbMDoHDwVN2tF'},"[{'height': None, 'url': 'https://charts-images.scdn.co/assets/locale_en/regional/daily/region_global_large.jpg', 'width': None}]","{'display_name': 'spotifycharts', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotifycharts'}, 'href': 'https://api.spotify.com/v1/users/spotifycharts', 'id': 'spotifycharts', 'type': 'user', 'uri': 'spotify:user:spotifycharts'}",,,NjgxNzM5ODg5LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,playlist,spotify:playlist:37i9dQZEVXbMDoHDwVN2tF
9,Top Lists,toplists,Viral 50 - Global,Your daily update of the most viral tracks right now - Global.,37i9dQZEVXbLiRSasKsNU9,https://api.spotify.com/v1/playlists/37i9dQZEVXbLiRSasKsNU9,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZEVXbLiRSasKsNU9/tracks', 'total': 50}",False,{'spotify': 'https://open.spotify.com/playlist/37i9dQZEVXbLiRSasKsNU9'},"[{'height': None, 'url': 'https://charts-images.scdn.co/assets/locale_en/viral/daily/region_global_large.jpg', 'width': None}]","{'display_name': 'spotifycharts', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotifycharts'}, 'href': 'https://api.spotify.com/v1/users/spotifycharts', 'id': 'spotifycharts', 'type': 'user', 'uri': 'spotify:user:spotifycharts'}",,,NjgxNzQxNzk0LDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,playlist,spotify:playlist:37i9dQZEVXbLiRSasKsNU9
