,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_followers,artist_genres,artist_popularity
0,0.44,0.345,0,-9.796,1,0.0272,0.614,0.756,0.0992,0.126,80.865,audio_features,0MuFAufcq283OanYu5Ku8X,spotify:track:0MuFAufcq283OanYu5Ku8X,https://api.spotify.com/v1/tracks/0MuFAufcq283OanYu5Ku8X,https://api.spotify.com/v1/audio-analysis/0MuFAufcq283OanYu5Ku8X,240500,4,476,[],23
0,0.384,0.334,9,-12.31,0,0.0447,0.324,0.0814,0.469,0.151,124.733,audio_features,4Mso4ICacStqBvbyEqKXvB,spotify:track:4Mso4ICacStqBvbyEqKXvB,https://api.spotify.com/v1/tracks/4Mso4ICacStqBvbyEqKXvB,https://api.spotify.com/v1/audio-analysis/4Mso4ICacStqBvbyEqKXvB,247467,4,1638,[],20
0,0.47,0.459,2,-9.245,1,0.0279,0.0911,0.000122,0.114,0.133,129.937,audio_features,2tr5nB15QjKueCSypsuEz7,spotify:track:2tr5nB15QjKueCSypsuEz7,https://api.spotify.com/v1/tracks/2tr5nB15QjKueCSypsuEz7,https://api.spotify.com/v1/audio-analysis/2tr5nB15QjKueCSypsuEz7,389250,4,776,[],18
0,0.314,0.614,5,-9.619,0,0.0403,0.633,0.687,0.135,0.324,169.899,audio_features,2W9OF8EQKVl6dexLio5REX,spotify:track:2W9OF8EQKVl6dexLio5REX,https://api.spotify.com/v1/tracks/2W9OF8EQKVl6dexLio5REX,https://api.spotify.com/v1/audio-analysis/2W9OF8EQKVl6dexLio5REX,196892,4,2719,"['hauntology', 'modern psychedelic folk']",28
0,0.519,0.912,11,-6.897,0,0.122,0.0526,0.0583,0.542,0.0585,123.992,audio_features,4y2aw66CxenyRNHddJ6wFt,spotify:track:4y2aw66CxenyRNHddJ6wFt,https://api.spotify.com/v1/tracks/4y2aw66CxenyRNHddJ6wFt,https://api.spotify.com/v1/audio-analysis/4y2aw66CxenyRNHddJ6wFt,280000,4,80,[],16
0,0.599,0.877,0,-6.112,1,0.0562,0.00223,0.0,0.138,0.234,124.939,audio_features,5V1YHTOjbVAoH4ppT2sI21,spotify:track:5V1YHTOjbVAoH4ppT2sI21,https://api.spotify.com/v1/tracks/5V1YHTOjbVAoH4ppT2sI21,https://api.spotify.com/v1/audio-analysis/5V1YHTOjbVAoH4ppT2sI21,282320,4,166,[],20
0,0.67,0.654,4,-5.863,0,0.178,0.106,5.54e-06,0.342,0.175,119.0,audio_features,4n9TwryLI8dc7JA7zCS7He,spotify:track:4n9TwryLI8dc7JA7zCS7He,https://api.spotify.com/v1/tracks/4n9TwryLI8dc7JA7zCS7He,https://api.spotify.com/v1/audio-analysis/4n9TwryLI8dc7JA7zCS7He,213771,4,14667,['hyperpop'],42
0,0.669,0.732,6,-8.724,0,0.244,0.00308,0.0,0.0492,0.727,150.043,audio_features,7dXD5KXxYVTpAv6Bcsp85c,spotify:track:7dXD5KXxYVTpAv6Bcsp85c,https://api.spotify.com/v1/tracks/7dXD5KXxYVTpAv6Bcsp85c,https://api.spotify.com/v1/audio-analysis/7dXD5KXxYVTpAv6Bcsp85c,148577,4,202293,"['ai', 'art pop', 'dance pop', 'deconstructed club', 'electropop', 'escape room', 'experimental pop', 'fluxwork']",56
0,0.761,0.514,1,-9.271,1,0.143,0.0492,0.00801,0.217,0.258,110.042,audio_features,4cEhfMDQJenkOB12pvW051,spotify:track:4cEhfMDQJenkOB12pvW051,https://api.spotify.com/v1/tracks/4cEhfMDQJenkOB12pvW051,https://api.spotify.com/v1/audio-analysis/4cEhfMDQJenkOB12pvW051,182000,4,36454,"['art pop', 'deconstructed club', 'escape room', 'hyperpop']",45
0,0.754,0.79,4,-6.569,0,0.254,0.296,1.63e-05,0.31,0.48,130.125,audio_features,7keFTSP0LQMj09887ZCmxJ,spotify:track:7keFTSP0LQMj09887ZCmxJ,https://api.spotify.com/v1/tracks/7keFTSP0LQMj09887ZCmxJ,https://api.spotify.com/v1/audio-analysis/7keFTSP0LQMj09887ZCmxJ,162462,4,989,[],24
0,0.437,0.477,8,-10.111,1,0.0292,0.862,0.764,0.105,0.199,150.019,audio_features,1Nzdc7gAPufUvqXulMHsWu,spotify:track:1Nzdc7gAPufUvqXulMHsWu,https://api.spotify.com/v1/tracks/1Nzdc7gAPufUvqXulMHsWu,https://api.spotify.com/v1/audio-analysis/1Nzdc7gAPufUvqXulMHsWu,282863,4,2719,"['hauntology', 'modern psychedelic folk']",28
0,0.645,0.748,7,-7.281,1,0.0375,0.0298,0.733,0.0862,0.319,155.127,audio_features,7zG96zOUfMR01JKGDskylX,spotify:track:7zG96zOUfMR01JKGDskylX,https://api.spotify.com/v1/tracks/7zG96zOUfMR01JKGDskylX,https://api.spotify.com/v1/audio-analysis/7zG96zOUfMR01JKGDskylX,138589,4,29,[],17
0,0.716,0.855,1,-7.856,1,0.0488,0.00287,0.00593,0.268,0.377,138.008,audio_features,5DIDBpv8X1eDO9v5b5IJn1,spotify:track:5DIDBpv8X1eDO9v5b5IJn1,https://api.spotify.com/v1/tracks/5DIDBpv8X1eDO9v5b5IJn1,https://api.spotify.com/v1/audio-analysis/5DIDBpv8X1eDO9v5b5IJn1,162481,4,139495,"['bc underground hip hop', 'canadian hip hop', 'canadian trap', 'electropop', 'escape room', 'hyperpop', 'pop', 'trap queen']",55
0,0.555,0.667,2,-9.73,1,0.0626,0.0672,0.264,0.382,0.253,126.132,audio_features,7lXLUOrEnz0ZVenSnO3NWv,spotify:track:7lXLUOrEnz0ZVenSnO3NWv,https://api.spotify.com/v1/tracks/7lXLUOrEnz0ZVenSnO3NWv,https://api.spotify.com/v1/audio-analysis/7lXLUOrEnz0ZVenSnO3NWv,380093,4,63743,"['art pop', 'chamber psych', 'freak folk', 'indie rock', 'london indie', 'modern alternative rock', 'modern rock', 'uk post-punk revival']",49
0,0.675,0.787,11,-2.468,0,0.334,0.0693,0.0,0.0494,0.647,140.959,audio_features,3V0PgcsUMlAGXwCD0084pY,spotify:track:3V0PgcsUMlAGXwCD0084pY,https://api.spotify.com/v1/tracks/3V0PgcsUMlAGXwCD0084pY,https://api.spotify.com/v1/audio-analysis/3V0PgcsUMlAGXwCD0084pY,124067,4,2378720,"['art pop', 'candy pop', 'dance pop', 'electropop', 'escape room', 'hyperpop', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']",78
0,0.519,0.366,8,-14.319,1,0.0497,0.598,0.0,0.117,0.372,79.789,audio_features,4stpCVWJYxJ4HkUDmkyPNF,spotify:track:4stpCVWJYxJ4HkUDmkyPNF,https://api.spotify.com/v1/tracks/4stpCVWJYxJ4HkUDmkyPNF,https://api.spotify.com/v1/audio-analysis/4stpCVWJYxJ4HkUDmkyPNF,191748,4,2775,[],44
0,0.379,0.685,11,-6.433,0,0.0353,0.0134,0.00778,0.294,0.112,105.584,audio_features,3nLrrqiK2mDKpazMEQhGHC,spotify:track:3nLrrqiK2mDKpazMEQhGHC,https://api.spotify.com/v1/tracks/3nLrrqiK2mDKpazMEQhGHC,https://api.spotify.com/v1/audio-analysis/3nLrrqiK2mDKpazMEQhGHC,203333,4,33524,"['russian alt pop', 'russian emo', 'russian indie', 'russian indie rock']",45
