,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_followers,artist_genres,artist_popularity
0,0.511,0.523,8,-9.81,0,0.0987,0.776,5.93e-05,0.217,0.303,132.196,audio_features,06g7bHpp4Oo4whcQqcbfFK,spotify:track:06g7bHpp4Oo4whcQqcbfFK,https://api.spotify.com/v1/tracks/06g7bHpp4Oo4whcQqcbfFK,https://api.spotify.com/v1/audio-analysis/06g7bHpp4Oo4whcQqcbfFK,214024,4,13076018,"['bachata', 'latin']",85
0,0.467,0.619,5,-10.079,1,0.0359,0.763,0.00545,0.181,0.826,176.296,audio_features,1cdpDAE7LHSHviJ73SGuGS,spotify:track:1cdpDAE7LHSHviJ73SGuGS,https://api.spotify.com/v1/tracks/1cdpDAE7LHSHviJ73SGuGS,https://api.spotify.com/v1/audio-analysis/1cdpDAE7LHSHviJ73SGuGS,190800,4,30478,['gruperas inmortales'],60
0,0.654,0.781,7,-4.698,1,0.0312,0.736,7.7e-06,0.311,0.941,94.269,audio_features,3eCwKRKjGT0EIJe3FKOjIo,spotify:track:3eCwKRKjGT0EIJe3FKOjIo,https://api.spotify.com/v1/tracks/3eCwKRKjGT0EIJe3FKOjIo,https://api.spotify.com/v1/audio-analysis/3eCwKRKjGT0EIJe3FKOjIo,235227,4,543238,"['ranchera', 'regional mexican', 'tropical']",64
0,0.76,0.627,7,-4.856,1,0.113,0.203,0.0,0.0739,0.754,180.011,audio_features,1lVHiMaB3bHEjOtuAX0hMm,spotify:track:1lVHiMaB3bHEjOtuAX0hMm,https://api.spotify.com/v1/tracks/1lVHiMaB3bHEjOtuAX0hMm,https://api.spotify.com/v1/audio-analysis/1lVHiMaB3bHEjOtuAX0hMm,231493,4,451498,"['nu-cumbia', 'regional mexican', 'tropical']",67
0,0.535,0.666,9,-7.905,1,0.0444,0.494,1.59e-06,0.0775,0.96,203.826,audio_features,19G8XMtHCX6y6eYTLDbaU3,spotify:track:19G8XMtHCX6y6eYTLDbaU3,https://api.spotify.com/v1/tracks/19G8XMtHCX6y6eYTLDbaU3,https://api.spotify.com/v1/audio-analysis/19G8XMtHCX6y6eYTLDbaU3,162013,4,680468,"['grupera', 'gruperas inmortales', 'regional mexican', 'tejano', 'tropical']",68
0,0.789,0.67,7,-12.263,1,0.0578,0.306,0.0,0.0435,0.984,89.532,audio_features,3M7WBL64QOmuPiPjhySCJW,spotify:track:3M7WBL64QOmuPiPjhySCJW,https://api.spotify.com/v1/tracks/3M7WBL64QOmuPiPjhySCJW,https://api.spotify.com/v1/audio-analysis/3M7WBL64QOmuPiPjhySCJW,169600,4,1941532,"['grupera', 'gruperas inmortales', 'norteno', 'regional mexican', 'tropical']",74
0,0.762,0.672,4,-5.224,0,0.0873,0.0388,0.0132,0.0348,0.967,97.429,audio_features,0HwlxSs5mE9BQisZHxEzZD,spotify:track:0HwlxSs5mE9BQisZHxEzZD,https://api.spotify.com/v1/tracks/0HwlxSs5mE9BQisZHxEzZD,https://api.spotify.com/v1/audio-analysis/0HwlxSs5mE9BQisZHxEzZD,233169,4,32046,"['cumbia', 'cumbia salvadorena']",0
0,0.681,0.71,7,-5.276,0,0.0564,0.79,0.000723,0.672,0.84,199.974,audio_features,3dy3Bwz5w5eenJz1R5KWo6,spotify:track:3dy3Bwz5w5eenJz1R5KWo6,https://api.spotify.com/v1/tracks/3dy3Bwz5w5eenJz1R5KWo6,https://api.spotify.com/v1/audio-analysis/3dy3Bwz5w5eenJz1R5KWo6,243627,4,694802,"['bolero', 'bolero mexicano', 'latin', 'latin pop', 'tropical']",67
0,0.754,0.703,7,-5.593,0,0.0584,0.129,1.72e-05,0.0548,0.959,95.335,audio_features,3A4awt6Y9DwHBRuFDoRX5S,spotify:track:3A4awt6Y9DwHBRuFDoRX5S,https://api.spotify.com/v1/tracks/3A4awt6Y9DwHBRuFDoRX5S,https://api.spotify.com/v1/audio-analysis/3A4awt6Y9DwHBRuFDoRX5S,266867,4,171318,"['chicha', 'cumbia', 'cumbia salvadorena', 'tropical']",59
0,0.722,0.652,7,-7.172,0,0.0351,0.388,0.0,0.106,0.963,89.613,audio_features,1jjLhYePEexexawOF6DgzP,spotify:track:1jjLhYePEexexawOF6DgzP,https://api.spotify.com/v1/tracks/1jjLhYePEexexawOF6DgzP,https://api.spotify.com/v1/audio-analysis/1jjLhYePEexexawOF6DgzP,146013,4,30478,['gruperas inmortales'],60
0,0.908,0.53,2,-5.506,1,0.0337,0.734,4.72e-06,0.0423,0.956,103.075,audio_features,0UAWp3NVL40XQ43ZPSRv2o,spotify:track:0UAWp3NVL40XQ43ZPSRv2o,https://api.spotify.com/v1/tracks/0UAWp3NVL40XQ43ZPSRv2o,https://api.spotify.com/v1/audio-analysis/0UAWp3NVL40XQ43ZPSRv2o,222400,4,202010,"['cumbia', 'cumbia lagunera', 'cumbia sonidera', 'tropical']",52
0,0.532,0.682,9,-8.79,1,0.0495,0.0253,0.0,0.0822,0.715,96.341,audio_features,5VUR4MhJWAbp2ZHtSDvwJ7,spotify:track:5VUR4MhJWAbp2ZHtSDvwJ7,https://api.spotify.com/v1/tracks/5VUR4MhJWAbp2ZHtSDvwJ7,https://api.spotify.com/v1/audio-analysis/5VUR4MhJWAbp2ZHtSDvwJ7,157107,4,376536,"['cumbia', 'salsa colombiana', 'tropical']",69
0,0.686,0.557,11,-5.791,0,0.0495,0.19,0.000147,0.116,0.851,167.969,audio_features,1QI9esrPwXTB2VG0NBvS3R,spotify:track:1QI9esrPwXTB2VG0NBvS3R,https://api.spotify.com/v1/tracks/1QI9esrPwXTB2VG0NBvS3R,https://api.spotify.com/v1/audio-analysis/1QI9esrPwXTB2VG0NBvS3R,261253,4,4747927,"['gruperas inmortales', 'nu-cumbia', 'regional mexican', 'tropical']",79
0,0.672,0.814,1,-8.552,1,0.0554,0.0887,0.0,0.0864,0.872,174.037,audio_features,3U7KQceu2ASSHEk33mP2se,spotify:track:3U7KQceu2ASSHEk33mP2se,https://api.spotify.com/v1/tracks/3U7KQceu2ASSHEk33mP2se,https://api.spotify.com/v1/audio-analysis/3U7KQceu2ASSHEk33mP2se,300907,4,172,[],0
0,0.698,0.747,0,-6.892,1,0.11,0.324,4.55e-06,0.254,0.813,182.942,audio_features,08zqP5uyM0kRt3o1ZZGYVv,spotify:track:08zqP5uyM0kRt3o1ZZGYVv,https://api.spotify.com/v1/tracks/08zqP5uyM0kRt3o1ZZGYVv,https://api.spotify.com/v1/audio-analysis/08zqP5uyM0kRt3o1ZZGYVv,177533,4,2037301,"['latin pop', 'mexican pop', 'tejano']",77
0,0.486,0.602,7,-2.395,0,0.0569,0.701,0.0,0.0652,0.825,201.667,audio_features,3bukaSKEeFiyYx9JfgiqYf,spotify:track:3bukaSKEeFiyYx9JfgiqYf,https://api.spotify.com/v1/tracks/3bukaSKEeFiyYx9JfgiqYf,https://api.spotify.com/v1/audio-analysis/3bukaSKEeFiyYx9JfgiqYf,247000,4,202010,"['cumbia', 'cumbia lagunera', 'cumbia sonidera', 'tropical']",52
0,0.646,0.721,1,-7.409,0,0.0385,0.178,0.0,0.0711,0.756,87.98,audio_features,4XiIASEYCZrrMnzUmVMvbk,spotify:track:4XiIASEYCZrrMnzUmVMvbk,https://api.spotify.com/v1/tracks/4XiIASEYCZrrMnzUmVMvbk,https://api.spotify.com/v1/audio-analysis/4XiIASEYCZrrMnzUmVMvbk,268307,4,303807,"['cumbia', 'cumbia sonidera', 'regional mexican', 'tropical']",62
0,0.744,0.738,7,-7.282,1,0.0362,0.045,0.0134,0.0746,0.924,98.14,audio_features,68uupqD2ijA27hJxtvnsLH,spotify:track:68uupqD2ijA27hJxtvnsLH,https://api.spotify.com/v1/tracks/68uupqD2ijA27hJxtvnsLH,https://api.spotify.com/v1/audio-analysis/68uupqD2ijA27hJxtvnsLH,198613,4,30478,['gruperas inmortales'],60
0,0.854,0.741,0,-5.19,1,0.0503,0.101,1.28e-05,0.0671,0.873,104.119,audio_features,4l3SD9S0EOaBAPejqNti6E,spotify:track:4l3SD9S0EOaBAPejqNti6E,https://api.spotify.com/v1/tracks/4l3SD9S0EOaBAPejqNti6E,https://api.spotify.com/v1/audio-analysis/4l3SD9S0EOaBAPejqNti6E,202253,4,221441,"['corrido', 'cumbia sonorense', 'musica costena', 'norteno', 'regional mexican', 'tropical']",61
0,0.682,0.564,2,-5.806,1,0.0476,0.213,0.000144,0.122,0.873,167.97,audio_features,1YHiq5iuXraptr8feJfEZn,spotify:track:1YHiq5iuXraptr8feJfEZn,https://api.spotify.com/v1/tracks/1YHiq5iuXraptr8feJfEZn,https://api.spotify.com/v1/audio-analysis/1YHiq5iuXraptr8feJfEZn,260853,4,4747927,"['gruperas inmortales', 'nu-cumbia', 'regional mexican', 'tropical']",79
0,0.789,0.952,10,-3.704,0,0.0358,0.24,1.07e-05,0.0356,0.902,107.021,audio_features,61CjystzXpC3TXueoe9Jss,spotify:track:61CjystzXpC3TXueoe9Jss,https://api.spotify.com/v1/tracks/61CjystzXpC3TXueoe9Jss,https://api.spotify.com/v1/audio-analysis/61CjystzXpC3TXueoe9Jss,273893,4,110757,"['cumbia', 'cumbia lagunera', 'regional mexican', 'tropical']",57
0,0.792,0.625,0,-8.59,1,0.043,0.0156,4.23e-06,0.0922,0.751,104.977,audio_features,6aiOkKVEe8Mo0O3ycrrn7z,spotify:track:6aiOkKVEe8Mo0O3ycrrn7z,https://api.spotify.com/v1/tracks/6aiOkKVEe8Mo0O3ycrrn7z,https://api.spotify.com/v1/audio-analysis/6aiOkKVEe8Mo0O3ycrrn7z,254200,4,376536,"['cumbia', 'salsa colombiana', 'tropical']",69
0,0.854,0.848,7,-5.93,1,0.041,0.234,6.66e-05,0.0294,0.949,103.32,audio_features,71J3ktUHU5n0EWAfD7VVFX,spotify:track:71J3ktUHU5n0EWAfD7VVFX,https://api.spotify.com/v1/tracks/71J3ktUHU5n0EWAfD7VVFX,https://api.spotify.com/v1/audio-analysis/71J3ktUHU5n0EWAfD7VVFX,172707,4,32863,['cumbia sonorense'],58
0,0.683,0.801,7,-4.731,0,0.165,0.389,0.0,0.371,0.861,168.512,audio_features,5BEvroZdzjCqs9QmQGZd6Q,spotify:track:5BEvroZdzjCqs9QmQGZd6Q,https://api.spotify.com/v1/tracks/5BEvroZdzjCqs9QmQGZd6Q,https://api.spotify.com/v1/audio-analysis/5BEvroZdzjCqs9QmQGZd6Q,253613,4,25729,"['cumbia sonidera', 'gruperas inmortales', 'tropical']",45
0,0.632,0.75,10,-7.739,1,0.0358,0.162,1.64e-05,0.368,0.87,91.17,audio_features,5ubqSAc9LxUS2CsMHcA4kF,spotify:track:5ubqSAc9LxUS2CsMHcA4kF,https://api.spotify.com/v1/tracks/5ubqSAc9LxUS2CsMHcA4kF,https://api.spotify.com/v1/audio-analysis/5ubqSAc9LxUS2CsMHcA4kF,184733,4,2037301,"['latin pop', 'mexican pop', 'tejano']",77
